health	promotion
ivory	trade
arms	trade
services	trade
stock	trade
merchandise	trade
diamond	trade
world	trade
future	trade
security	trade
cocaine	trade
grain	trade
narcotic	trade

product	smuggler
rice	smuggler
banana	smuggling
caviar	smuggling
coffee	smuggling
medicine	smuggling
salt	smuggling
spirits	smuggling
seafood	shipper
wheat	shipper
syphilis	transmission

baggage	handler
cargo	handler

kidney	transplant
organ	transplant
marrow	transplant
fetal tissue	transplant
lung	transplant
hand	transplant
heart	transplant

plant	relocation
mail	sender

freight	haulage

freight	hauler
trash	hauler

drug	smuggler

freight	carrier
telecommunication	carrier
helicopter	carrier
drink	carrier
cargo	carrier
aid	carrier
communication	carrier
insurance	carrier
phone	carrier
telephone	carrier
flag	carrier

weapon	proliferation
missile	proliferation
arms	proliferation

arms	smuggling
drug	smuggling
narcotics	smuggling

gas	transportation
freight	transportation
passenger	transportation

drug	trafficker
cocaine	trafficker
narcotic	trafficker

drug	trafficking

freight	handling
baggage	handling

equity	mover
drug	runner

scandal	survival

life insurance	policyholder

quality	improvement
productivity	improvement
transportation	improvement
policy	improvement
infrastructure	improvement
home	improvement
traffic	improvement
safety	improvement
efficiency	improvement

credit	enhancement
career	advancement

hotel	expansion
airport	expansion
fund	expansion
settlement	expansion

capacity	addition


inventory	buildup
troop	buildup
arms	buildup

power	amplifier

price	gouging

rent	increase
salary	increase
tax	increase
service	increase
cost	increase
spending	increase
fare	increase
benefit	increase
budget	increase
fee	increase
pay	increase
quota	increase
price	increase
tariff	increase
toll	increase
tuition	increase
pension	increase
wage	increase
dividend	increase

tuition	inflation
pay	raise

school	betterment

wage	boost
morale	boost
price	boost
pay	boost

pay	hike
salary	hike
fare	hike
price	hike
wage	hike

money	launderer

money	laundering

word	processor
egg	processor
food	processor
meat	processor

word	processing
transaction	processing
image	processing
information	processing
petrochemical	processing
product	processing
batch	processing
food	processing
minerals	processing

aluminium	smelter
iron	smelter
modifier	parsing

oil	refinery
paint	thinner

engine	repair
highway	repair
home	repair

extinguisher	repairman
photocopier	repairman
copier	repairman
equipment	repairman
road	repairman

aircraft	maintenance
home	maintenance
road	maintenance

fracture	healing

share	turnover
board	turnover
member	turnover
staff	turnover
market	turnover
employee	turnover
trade	turnover
export	turnover
group	turnover

air	conditioner
air	conditioning

credit	loss
weight	loss
revenue	loss
yard	loss
property	loss

hair	loss
blood	loss
job	loss
crop	loss

bone	loss

price	spike
market	rally
dollar	rally
wage	rise
tax	rise
profit	rise
price	inflation
rate	rise
population	explosion
market	expansion
credit	expansion
yen	appreciation
price	appreciation

earnings	improvement
profit	improvement
population	increase
volume	increase
output	increase
productivity	increase
sale	increase
revenue	increase
earnings	increase
profit	increase
sales	increase
price	rise
index	rise
sale	gain
employment	gain
efficiency	gain
profit	gain
volume	gain
productivity	gain
earnings	gain
weight	gain
price	gain
wage	gain
circulation	gain
income	gain
real estate	gain
security	gain
revenue	gain
capital	gain
job	gain
manufacturing	growth
industry	growth
loan	growth
sales	growth
hair	growth
import	growth
product	growth
unit	growth
plant	growth
export	growth
dividend	growth
profit	growth
volume	growth
revenue	growth
investment	growth
market	growth
population	growth
world	growth
production	growth
index	growth
asset	growth
productivity	growth
sale	growth
deposit	growth
job	growth
wage	growth
income	growth
output	growth
cell	growth
spending	growth
tumor	growth
earnings	growth
money	growth
traffic	growth
tourist	growth

biodiversity	loss

delivery	delay
shipping	delay
airline	delay
product	delay
flight	delay
construction	delay

money	loser
growth	acceleration
ozone	depletion

earnings	recovery
market	recovery

securities	transaction
share	transaction
land	transaction
currency	transaction
cash	transaction
drug	transaction
trading	transaction
property	transaction
security	transaction
equities	transaction

industry	bailout

convoy	attack

animal	destruction
church	destruction
city	devastation
family	devastation
state	disintegration
terrorism	eradication
weevil	eradication
animal	euthanasia
diplomat	murder
livestock	mutilation
consumer	abuse
employee	abuse
prostitute	killing
student	killing
whale	killing
gang	avoidance
class	cancellation
cop	poisoning
dog	poisoning
embassy	attack


shock	absorber


quarterback	sack

salary	slash

wound	infection

aircraft	explosion
chicken	slaughter
child	poisoning

shop	burning
shrine	burning
synagogue	burning

credibility	damage
credit	damage
fabric	damage
system	poisoning
hardware	damage
wildlife	damage
vegetation	damage
relationship	damage
machine	damage
infrastructure	damage
memory	damage
equipment	damages
motor	damages
plane	damages

city	inhabitant

air	controller
computer	controller
flight	controller
traffic	controller

account	director
advertising	director
affair	director
area	director
art	director
athletics	director
bank	director
board	director
budget	director
bureau	director
campaign	director
casting	director
census	director
center	director
city	director
communication	director
company	director
department	director
design	director
development	director
division	director
enforcement	director
factory	director
fashion	director
finance	director
flight	director
gallery	director
group	director
health	director
hospital	director
information	director
institute	director
launch	director
lottery	director
management	director
marketing	director
media	director
movie	director
museum	director
music	director
office	director
operation	director
plant	director
player	director
police	director
policy	director
prison	director
production	director
program	director
project	director
projects	director
promotion	director
race	director
relation	director
research	director
resource	director
safety	director
sales	director
school	director
scouting	director
service	director
sport	director
staff	director
team	director
theater	director
wine	director
zoo	director

museum	curator

market	dominance

world	domination

law	enforcer

alliance	leader
band	leader
bloc	leader
business	leader
cartel	leader
championship	leader
church	leader
city	leader
clan	leader
coalition	leader
committee	leader
commonwealth	leader
community	leader
congress	leader
coup	leader
cult	leader
delegation	leader
division	leader
faction	leader
gang	leader
government	leader
group	leader
homeland	leader
house	leader
independence	leader
junta	leader
labor	leader
labour	leader
league	leader
majority	leader
market	leader
media	leader
militia	leader
minority	leader
movement	leader
neighborhood	leader
opinion	leader
opposition	leader
parliament	leader
party	leader
platoon	leader
prayer	leader
project	leader
protest	leader
race	leader
reform	leader
scout	leader
sect	leader
sector	leader
solidarity	leader
squad	leader
squadron	leader
state	leader
summit	leader
team	leader
troop	leader
union	leader
uprising	leader
village	leader
world	leader

asset	management
bank	management
case	management
cash	management
company	management
crisis	management
debt	management
disaster	management
enterprise	management
facility	management
fund	management
growth	management
hotel	management
information	management
inventory	management
investment	management
land	management
materials	management
money	management
network	management
portfolio	management
product	management
project	management
property	management
resource	management
risk	management
stress	management
team	management
time	management
traffic	management
utilities	management
utilization	management
waste	management
water	management
wildlife	management

account	manager
advertising	manager
affair	manager
airport	manager
apartment	manager
area	manager
asset	manager
bank	manager
baseball	manager
benefit	manager
branch	manager
brand	manager
building	manager
business	manager
campaign	manager
case	manager
casino	manager
center	manager
city	manager
club	manager
communication	manager
company	manager
computer	manager
construction	manager
convention	manager
credit	manager
department	manager
development	manager
district	manager
division	manager
engineering	manager
enterprise	manager
equipment	manager
facility	manager
factory	manager
finance	manager
floor	manager
fund	manager
group	manager
hedge	manager
house	manager
impeachment	manager
information	manager
investment	manager
land	manager
line	manager
market	manager
marketing	manager
merchandise	manager
money	manager
office	manager
operation	manager
party	manager
pension	manager
personnel	manager
pharmacy	manager
plant	manager
portfolio	manager
product	manager
production	manager
program	manager
project	manager
property	manager
purchasing	manager
relation	manager
research	manager
reservations	manager
resource	manager
restaurant	manager
risk	manager
sales	manager
service	manager
shuttle	manager
site	manager
station	manager
store	manager
syndicate	manager
system	manager
tax	manager
team	manager
technology	manager
theater	manager
town	manager
trading	manager
travel	manager
trust	manager
unit	manager
water	manager

bank	regulator
banking	regulator
electricity	regulator
gas	regulator
insurance	regulator
market	regulator
safety	regulator
securities	regulator
security	regulator
telecommunication	regulator
thrift	regulator
thrift industry	regulator
water	regulator

bank	supervision
banking	supervision

account	supervisor
line	supervisor
maintenance	supervisor
nursing	supervisor

stage	manager

city	administration
commodity	administration
government	administration
school	administration
state	administration
tax	administration

art	administrator
city	administrator
court	administrator
hospital	administrator
school	administrator
system	administrator
university	administrator

income	distribution

book	review
preadmission	review
utilization	review

employer	cost

director	interview
executive	interview
family	interview
filmmaker	interview
musician	interview
police	interview
student	interview
user	interview
pedestrian	interview
fan	interview

engineering	analysis
policy	analysis
database	analysis
contingency	analysis
tumor	analysis
market	analysis
risk	analysis

brain	scan
wine	tasting

speech	recognition
voice	recognition
name	recognition
brand	recognition
fire	detection
signal	detection

damage	assessment
impact	assessment
intelligence	assessment
risk	assessment

price	inspection
arms	inspection
safety	inspection
discipline	inspection
weapon	inspection
product	inspection

town	watching
bird	watching

impact	study
health	study
feasibility	study
character	study
policy	study
drug	study
safety	study
research	study
marketing	study
market	study
law	study
engineering	study

vaccine	research
consumer	research
biotechnology	research
space	research
equity	research
gene	research
fusion	research
cancer	research
energy	research
health	research
stem	research
future	research
cell	research
aids	research
drug	research
market	research
fund	research
marketing	research
breast	research
material	research

eye	exam

job	classification

credit	check
safety	check
reality	check
endorsement	check
maintenance	check

television	viewer

oil	analyst
commodity	analyst
food	analyst
sugar	analyst
aviation	analyst
election	analyst
retailing	analyst
credit	analyst
telecommunication	analyst
future	analyst
investment	analyst
metals	analyst
entertainment	analyst
chip	analyst
sector	analyst
insurance	analyst
energy	analyst
football	analyst
biotechnology	analyst
stock	analyst
market	analyst
budget	analyst
livestock	analyst
research	analyst
airline	analyst
currencny	analyst
defense	analyst
aerospace	analyst
media	analyst
system	analyst
industry	analyst
policy	analyst
beverage	analyst
retail	analyst
currency	analyst
equity	analyst
security	analyst
drug	analyst
auto	analyst
securities	analyst
grain	analyst

child	psychoanalysis

blood	testing

opinion	survey
employee	survey
farm	survey
listener	survey
motorist	survey
reader	survey
rider	survey
workplace	survey

engineering	student
journalism	student
science	student
law	student
drama	student
music	student
architecture	student

market	researcher
consumer	researcher
health	researcher
aids	researcher
cancer	researcher
wave	researcher

voice	recorder
videocassette	recorder
data	recorder
cassette	recorder
flight	recorder
video	recorder

retailing	observer
market	observer
election	observer
industry	observer

arson	investigator
fire	investigator
accident	investigator
safety	investigator
crash	investigator

radar	detector
mine	detector
smoke	detector
arms	inspector
health	inspector
building	inspector
tax	inspector
weapon	inspector
safety	inspector

market	watcher
court	watcher
ballot	watcher
industry	watcher

committee	watcher
magazine	watcher

talk	listener

tv	viewer

arm	monitor
heart	monitor
peace	monitor
election	monitor

turkey	sighting

art	appreciation
asset	pricing
space	exploration
profit	downgrade

poetry	reading

television	viewing

page	view


breast	augmentation
price	manipulation
rate	manipulation
market	manipulation

transportation	deregulation
airline	deregulation
market	deregulation
price	liberalisation
price	decontrol

office	automation
factory	automation

hair	stylist

downtown	redevelopment

currency	devaluation
ruble	devaluation

gas	guzzler

army	deserter
brain	stimulation
brain	stimulators

fabric	softener

#event
book	signing

diaper	cover
manhole	cover

meat	chopper

body	builder

water	diversion

pollution	cleanup
waste	cleanup
room	cleanup
party	cleanup
hurricane	cleanup
quake	cleanup
debris	clearance
silt	clearance
snow	clearance
snow	clearing
trash	cleanup

asbestos	removal
asset	disposal
waste	disposal
cash	withdrawal

license	suspension
trading	suspension

troop	pullback
troop	pullout
troop	withdrawal

transmission	service
debt	servicing

traffic	mitigation

rate	rollback

land	degradation

credit	tightening

price	discounting

rate	slash

life	saving
energy	saving

investment	guarantee
loan	guarantee
credibility	guarantee
peace	guarantee
occupancy	guarantee
liberty	guarantee
mortgage	guarantee
pension	guarantee
price	guarantee
profit	guarantee
rate	guarantee
refund	guarantee
return	guarantee
revenue	guarantee

conflict	resolution

meat	packer

water	rationing

fund	redemption

debt	repayment
loan	repayment

blood	transfusion
data	transmission

land	redistribution
income	redistribution

hormone	replacement

import	substitution

heat	transfer
technology	transfer
data	transfer
food	transfer
cash	transfer
fund	transfer
money	transfer
arms	transfer
land	transfer

photograph	collecting

data	collection
debt	collection
revenue	collection

art	collector
debt	collector
tax	collector

data	gathering
intelligence	gathering
news	gathering
wood	gathering

corn	harvest
grain	harvest
rice	harvest
soybean	harvest
sugar	harvest
timber	harvest
wheat	harvest
food	harvester
corn	harvesting

fund	raiser

fund	raising

particle	catcher

bargain	hunter
gene	hunter
microbe	hunter

bargain	hunting
deer	hunting
duck	hunting
fox	hunting
job	hunting
monkey	hunting
coon	hunting

bird	catcher
chicken	catcher
crab	catcher
insect	catcher

whale	hunt
witch	hunt

aircraft	purchase
arms	purchase
automobile	purchase
car	purchase
dollar	purchase
equipment	purchase
grain	purchase
graphics	purchase
handgun	purchase
home	purchase
house	purchase
inventory	purchase
land	purchase
oil	purchase
weapon	purchase

battery	buyer
bond	buyer
car	buyer
chip	buyer
computer	buyer
dollar	buyer
home	buyer
junk	buyer
racehorse	buyer
stock	buyer
ticket	buyer

auto	buying
automobile	buying
book	buying
dollar	buying
fund	buying
home	buying
vote	buying


airline	acquisition
fund	acquisition
land	acquisition

banana	import
beef	import
car	import
food	import
grain	import
merchandise	import
oil	import
rice	import
steel	import
sugar	import
wheat	import



banana	importation
beef	importation
chicken	importation
prescription	importation
pumpkin	importation
banana	importer
carpet	importer
chicken	importer
clothes	importer
cocoa	importer
corn	importer
cosmetic	importer
grain	importer
lumber	importer
meat	importer
newsprint	importer
plywood	importer
rubber	importer
stereo	importer
sugar	importer
vaccine	importer
vehicle	importer
weapon	importer
wheat	importer
wool	importer

car	rental
video	rental

oil	importer

urchin	buyer



asylum	seeker
autograph	seeker
job	seeker
mortgage	seeker
treasure	seeker

entertainment	pursuit

copyright	piracy
music	piracy
software	piracy
videocassette	piracy



land	grab


cattle	rustling
palm tree	rustling

ecstasy	seizure
cocaine	seizure

hostage	taker

child	abduction

profit	taking



art	theft
car	theft
computer	theft
identity	theft
vehicle	theft

art	thief
car	thief

child	adoption
infant	adoption

drug	discovery
oil	discovery

currency	earner
income	earner
revenue	earner

fumble	recovery
insurance	recovery
profit	recovery
reinsurance	recovery
scrap	recovery
waste	recovery




minority	recruiting

minority	recruitment

goal	scorer

airline	takeover
paper company	takeover
thrift	takeover

award	winner
money	winner


art	critic
government	critic
television	critic
industry	critic
book	critic
media	critic
restaurant	critic
food	critic

abortion	protester

#has
cancer	survivor


science	teacher
history	teacher
design	teacher
gym	teacher
kindergarten	teacher
music	teacher
drama	teacher
grade	teacher
math	teacher
biology	teacher
art	teacher

track	coach
football	coach
volleyball	coach
strength	coach
line	coach
conditioning	coach
receiver	coach
quarterback	coach
basketball	coach
linebacker	coach
bench	coach
baseball	coach
soccer	coach
pitching	coach
hitting	coach

auto	advertising
cigarette	advertising
renewal	advertising
tobacco	advertising

product	marketing
propane	marketing

investment	promotion
boxing	promoter
concert	promoter

ski	promotion

voter	registration
property	write-down
inventory	write-down
interest	deduction
cost	deduction
debt	write-off
tax	write-off
loan	write-off

tax	deferral
policy	illustration

cash	injection
equity	injection
fuel	injection
insulin	injection

tax	payer

influence	peddling

specialty	retailing

asset	allocation
credit	allocation
market	allocation
resource	allocation

troop	redeployment
missile	deployment
troop	deployment
pin	placement
product	placement
tuna	canning

television	broadcaster

news	broadcasting
food	distribution
care	giver

equipment	installation



horse	trainer
team	trainer


title	sponsor

government	supporter
abortion	supporter
opposition	supporter
rights	supporter
party	supporter

stadium	booster

export	promotion

tourism	promotion

water	holder

food	container

bomb	explosion
grenade	explosion

policy	coordination

program	coordinator
trails	coordinator
campaign	coordinator
relief	coordinator
project	coordinator
service	coordinator
policy	coordinator

strike	organizer
conference	organizer
protest	organizer
race	organizer
event	organizer
party	organizer
labor	organizer
rally	organizer

table	setting

price	fixing

flight	dispatcher

democracy	advocate
safety	advocate
massage	advocate
rights	advocate
abortion	advocate
free market	advocate
privacy	advocate
right	advocate


convention	coverage
sport	coverage
election	coverage
football	coverage

news	reporting

corruption	investigation
fraud	investigation
accident	investigation
crash	investigation
background	investigation
espionage	investigation

audience	research
storage	research
abortion	research
options	research
superconductor	research
ceramics	research
fixed income	research
hdtv	research

news	coverage
election	monitoring
alarm	monitoring
virus	monitoring
student	examination

antelope	sighting

sales	tracking

interest	abatement

media	censorship
press	censorship

portfolio	co-manager

jail	guard

tour	guide

telephone	usage

browser	user

pesticide	use
computer	use
copper	use
pc	use
land	use
typewriter	use
home	use
phone	use
herbicide	use
cell	use
chemical	use
carrier	use

phone	user
computer	user
brand	user
bike	user
cell	user
wheelchair	user
telephone	user
bag	user

capacity	utilisation

capacity	utilization

trumpet	player
keyboard	player

disc	player
videodisk	player

airline	operation

company	operation

network	operation
plant	operation
flight	operation
truck	operation
airport	operation
fund	operation
aircraft	operation
bus	operation
shuttle	operation
hotel	operation
bank	operation
equipment	operation
vehicle	operation

train	driver
limousine	driver
car	driver
ambulance	driver
lorry	driver
truck	driver
taxi	driver
cab	driver
train	engineer
#

fighter	pilot
helicopter	pilot
bomber	pilot
jet	pilot
theater	operator
phone	operator
network	operator
site	operator
pipeline	operator
plant	operator
cable	operator
system	operator
restaurant	operator
bus	operator
service	operator
tour	operator
supermarket	operator
room	operator
camera	operator
ferry	operator
machine	operator
feedlot	operator
train	operator
store	operator
casino	operator
market	operator
airport	operator
telecommunication	operator
computer	operator
oil	operator
telecom	operator
hotel	operator

model	introduction
product	introduction

conference	opener
exhibition	opener
playoff	opener
series	opener

video	player
music	player

television	programmer
tv	programmer

computer	programming
tv	programming

fashion	trendsetter

confidence	building

policy	formulation
mortgage	originator

job	opening
market	opening
store	opening

dam	builder

tunnel	digger

blues	singer
jazz	singer
opera	singer
pop	singer
rock	singer



aluminium	producer
aluminum	producer
banana	producer
beef	producer
car	producer
cattle	producer
cement	producer
coal	producer
cocoa	producer
coffee	producer
commodity	producer
copper	producer
cotton	producer
dairy	producer
diamond	producer
drug	producer
egg	producer
energy	producer
entertainment	producer
equipment	producer
food	producer
gas	producer
gold	producer
grain	producer
hog	producer
livestock	producer
metals	producer
movie	producer
music	producer
newsprint	producer
oil	producer
paper	producer
plastics	producer
pork	producer
poultry	producer
rice	producer
software	producer
steel	producer
sugar	producer
television	producer
tobacco	producer
wine	producer


aircraft	maker
airplane	maker
aluminum	maker
apparel	maker
appliance	maker
arm	maker
auto	maker
automobile	maker
battery	maker
candy	maker
car	maker
cement	maker
chip	maker
cigarette	maker
clone	maker
clothing	maker
component	maker
computer	maker
cosmetics	maker
deal	maker
drug	maker
engine	maker
equipment	maker
farm machine	maker
food	maker
furniture	maker
glass	maker
hardware	maker
heavy truck	maker
jewelry	maker
laser	maker
machinery	maker
money	maker
notebook	maker
paper	maker
part	maker
policy	maker
semiconductor	maker
shoe	maker
steel	maker
telecommunication	maker
tobacco	maker
toy	maker
vehicle	maker



aerospace	manufacturer
aircraft	manufacturer
airplane	manufacturer
apparel	manufacturer
appliance	manufacturer
arm	manufacturer
asbestos	manufacturer
automobile	manufacturer
car	manufacturer
chip	manufacturer
cigarette	manufacturer
clothing	manufacturer
component	manufacturer
computer	manufacturer
drug	manufacturer
electronics	manufacturer
engine	manufacturer
equipment	manufacturer
food	manufacturer
furniture	manufacturer
garment	manufacturer
glass	manufacturer
goods	manufacturer
hardware	manufacturer
helicopter	manufacturer
machinery	manufacturer
paper	manufacturer
part	manufacturer
plastics	manufacturer
product	manufacturer
semiconductor	manufacturer
shoe	manufacturer
software	manufacturer
steel	manufacturer
television	manufacturer
tire	manufacturer
tobacco	manufacturer
toy	manufacturer
truck	manufacturer
vehicle	manufacturer



company	founder

housing	developer
land	developer
property	developer
real estate	developer
software	developer

apparel	retailer
clothing	retailer
computer	retailer
electronics	retailer
food	retailer
furniture	retailer
goods	retailer
music	retailer
video	retailer

drug	distributor
electricity	distributor
food	distributor

car	salesman
equity	salesman
insurance	salesman

car	marketer
soda	bottler
arm	supplier
component	supplier
electricity	supplier
energy	supplier
equipment	supplier
gas	supplier
oil	supplier
part	supplier
parts	supplier

software	supplier
steel	supplier
